playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
7802,Miguel Rojas,MIA,96,87,24,0,8,8,0,7.3%,8.3%,0.069,0.3,0.276,0.33299999999999996,0.345,19.0%,50.6%,30.4%,8.3%,0.0%,35.1%,68.5%,50.2%,77.0%,85.7%,82.4%,0.331
8267,Chris Iannetta,COL,33,29,6,1,2,2,0,9.1%,42.4%,0.172,0.35700000000000004,0.207,0.303,0.379,46.7%,33.3%,20.0%,0.0%,33.3%,24.3%,66.7%,45.2%,16.7%,68.8%,54.5%,0.311
18289,Brian Anderson,MIA,121,107,26,2,5,6,3,11.6%,21.5%,0.09300000000000001,0.304,0.243,0.331,0.336,23.5%,44.4%,32.1%,11.5%,7.7%,30.9%,66.7%,46.7%,58.0%,84.8%,74.9%,0.342
11470,Tony Wolters,COL,69,60,16,0,4,5,0,11.6%,14.5%,0.1,0.314,0.267,0.348,0.36700000000000005,25.5%,49.0%,25.5%,0.0%,0.0%,26.2%,62.1%,42.4%,67.6%,97.2%,87.2%,0.337
12147,Nick Ahmed,ARI,122,112,29,2,18,13,2,6.6%,20.5%,0.14300000000000002,0.31,0.259,0.303,0.402,22.7%,48.9%,28.4%,12.0%,8.0%,28.8%,70.9%,48.6%,65.3%,84.0%,78.2%,0.316
11615,Brandon Drury,TOR,106,100,22,5,11,9,0,4.7%,34.9%,0.22,0.293,0.22,0.264,0.44,23.8%,34.9%,41.3%,7.7%,19.2%,33.9%,66.5%,47.2%,51.8%,83.5%,70.0%,0.262
18721,Guillermo Heredia,TBR,33,25,4,1,3,5,0,15.2%,30.3%,0.16,0.214,0.16,0.32299999999999995,0.32,35.7%,50.0%,14.3%,0.0%,50.0%,26.0%,80.0%,47.2%,60.0%,70.0%,66.7%,0.306
11379,Delino DeShields,TEX,91,73,14,1,8,10,7,16.5%,19.8%,0.11,0.24100000000000002,0.192,0.337,0.301,21.6%,39.2%,39.2%,10.0%,5.0%,17.8%,58.2%,35.6%,63.9%,92.4%,84.4%,0.325
4220,Ryan Zimmerman,WSN,86,75,16,3,7,11,0,11.6%,20.9%,0.16,0.23600000000000002,0.213,0.302,0.373,13.8%,48.3%,37.9%,4.5%,13.6%,26.9%,59.6%,40.1%,60.3%,83.9%,74.5%,0.321
4747,Curtis Granderson,MIA,94,80,15,4,8,11,0,11.7%,34.0%,0.213,0.239,0.188,0.287,0.4,20.4%,24.5%,55.1%,11.1%,14.8%,22.2%,61.1%,36.9%,57.6%,79.8%,71.5%,0.281
15112,Ryan McMahon,COL,76,67,15,2,9,10,1,11.8%,26.3%,0.11900000000000001,0.289,0.22399999999999998,0.316,0.34299999999999997,19.6%,52.2%,28.3%,0.0%,15.4%,28.9%,76.5%,47.4%,57.4%,81.3%,72.4%,0.32899999999999996
12916,Francisco Lindor,CLE,38,37,9,3,6,6,1,0.0%,23.7%,0.243,0.231,0.243,0.237,0.486,17.2%,37.9%,44.8%,15.4%,23.1%,44.6%,70.4%,54.7%,73.0%,97.4%,85.3%,0.335
17484,Eloy Jimenez,CHW,85,79,19,3,6,8,0,5.9%,29.4%,0.139,0.314,0.24100000000000002,0.294,0.38,18.5%,48.1%,33.3%,5.6%,16.7%,37.9%,72.4%,50.4%,64.2%,78.7%,71.8%,0.315
17128,Ramon Laureano,OAK,107,97,23,3,16,11,3,5.6%,26.2%,0.134,0.299,0.237,0.299,0.371,20.0%,41.4%,38.6%,0.0%,11.1%,29.3%,62.2%,43.9%,55.9%,83.5%,73.2%,0.34
7870,Jonathan Lucroy,LAA,93,86,22,2,12,11,0,6.5%,9.7%,0.09300000000000001,0.267,0.256,0.312,0.349,19.5%,50.6%,29.9%,4.3%,8.7%,23.9%,56.1%,39.6%,74.5%,96.2%,89.5%,0.305
4922,Ender Inciarte,ATL,101,90,21,2,8,6,3,8.9%,21.8%,0.122,0.284,0.233,0.307,0.35600000000000004,24.6%,58.5%,16.9%,0.0%,18.2%,33.0%,68.9%,49.2%,70.8%,83.9%,79.1%,0.34299999999999997
17326,Cole Tucker,PIT,38,36,9,1,4,2,0,5.3%,31.6%,0.16699999999999998,0.348,0.25,0.289,0.41700000000000004,13.0%,60.9%,26.1%,0.0%,16.7%,33.3%,71.2%,49.3%,48.1%,83.3%,69.6%,0.266
15274,Mike Tauchman,NYY,71,62,11,3,10,8,1,12.7%,29.6%,0.21,0.21100000000000002,0.177,0.282,0.387,9.8%,58.5%,31.7%,0.0%,23.1%,22.9%,67.4%,41.5%,60.5%,89.0%,79.9%,0.361
7007,Yadier Molina,STL,114,107,28,2,11,20,1,4.4%,7.9%,0.131,0.265,0.262,0.289,0.39299999999999996,29.0%,41.0%,30.0%,6.7%,6.7%,40.6%,78.8%,56.3%,75.8%,92.7%,85.5%,0.312
9774,Christian Vazquez,BOS,79,72,16,4,12,13,1,7.6%,19.0%,0.20800000000000002,0.222,0.222,0.278,0.431,19.0%,37.9%,43.1%,4.0%,16.0%,24.2%,65.1%,43.2%,69.4%,89.3%,83.3%,0.32
19198,Yuli Gurriel,HOU,113,104,25,1,12,9,0,7.1%,12.4%,0.135,0.267,0.24,0.292,0.375,33.0%,31.9%,35.2%,9.4%,3.1%,29.6%,67.6%,46.5%,74.2%,91.7%,85.6%,0.34299999999999997
14103,Rio Ruiz,BAL,106,92,21,2,8,10,0,12.3%,21.7%,0.087,0.27899999999999997,0.228,0.321,0.315,21.4%,47.1%,31.4%,13.6%,9.1%,24.9%,64.5%,41.7%,58.1%,85.6%,76.1%,0.306
5751,Hernan Perez,MIL,56,52,11,3,7,6,1,7.1%,37.5%,0.192,0.28600000000000003,0.212,0.268,0.40399999999999997,9.7%,41.9%,48.4%,0.0%,20.0%,42.4%,62.6%,51.1%,64.3%,71.0%,67.8%,0.262
13185,Orlando Arcia,MIL,105,98,23,4,12,11,0,6.7%,22.9%,0.163,0.271,0.235,0.28600000000000003,0.39799999999999996,16.4%,54.8%,28.8%,14.3%,19.0%,33.6%,65.5%,47.2%,58.2%,82.5%,72.5%,0.28300000000000003
13265,Mike Zunino,TBR,70,67,15,2,7,12,0,4.3%,25.7%,0.19399999999999998,0.27699999999999997,0.22399999999999998,0.257,0.418,20.4%,34.7%,44.9%,13.6%,9.1%,39.6%,76.9%,56.2%,47.2%,88.0%,72.1%,0.23199999999999998
14950,Johan Camargo,ATL,71,65,15,1,8,10,1,8.5%,18.3%,0.138,0.275,0.231,0.29600000000000004,0.369,21.2%,34.6%,44.2%,8.7%,4.3%,40.7%,77.0%,55.4%,63.2%,88.5%,77.4%,0.27899999999999997
4579,Starlin Castro,MIA,122,113,28,3,11,9,1,7.4%,14.8%,0.08800000000000001,0.272,0.248,0.303,0.336,13.7%,58.9%,27.4%,3.8%,11.5%,28.3%,62.6%,42.8%,76.0%,91.0%,85.3%,0.3
9810,Brian Dozier,WSN,101,87,16,4,10,6,1,12.9%,28.7%,0.149,0.222,0.184,0.297,0.33299999999999996,12.1%,50.0%,37.9%,18.2%,18.2%,20.3%,58.8%,37.6%,52.1%,81.6%,72.8%,0.34
10200,Tucker Barnhart,CIN,78,67,14,2,8,5,0,12.8%,24.4%,0.11900000000000001,0.261,0.209,0.312,0.32799999999999996,27.1%,41.7%,31.3%,13.3%,13.3%,26.3%,65.9%,43.1%,63.0%,80.0%,74.0%,0.32799999999999996
17062,Grayson Greiner,DET,77,72,16,3,7,9,0,5.2%,28.6%,0.153,0.27699999999999997,0.222,0.273,0.375,14.0%,52.0%,34.0%,5.9%,17.6%,35.8%,65.7%,47.0%,51.6%,88.7%,71.1%,0.251
13621,Jeimer Candelario,DET,114,99,22,0,13,5,1,12.3%,26.3%,0.071,0.319,0.222,0.325,0.293,27.5%,31.9%,40.6%,7.1%,0.0%,30.9%,62.5%,44.3%,59.8%,90.0%,77.9%,0.306
13359,Tyler Naquin,CLE,73,70,18,1,7,7,3,4.1%,28.8%,0.114,0.354,0.257,0.28800000000000003,0.371,22.4%,42.9%,34.7%,23.5%,5.9%,36.0%,69.7%,50.2%,69.5%,78.3%,74.6%,0.325
2900,Roberto Perez,CLE,70,61,13,2,3,5,0,8.6%,32.9%,0.131,0.297,0.213,0.29,0.344,23.7%,44.7%,31.6%,0.0%,16.7%,21.3%,64.0%,38.2%,38.9%,78.9%,65.4%,0.321
5384,Juan Lagares,NYM,63,55,12,1,9,5,2,9.5%,28.6%,0.091,0.306,0.218,0.306,0.309,16.2%,59.5%,24.3%,0.0%,11.1%,30.5%,62.5%,44.0%,57.4%,84.3%,73.5%,0.27899999999999997
5827,Wilmer Flores,ARI,87,79,19,1,9,7,0,6.9%,9.2%,0.08900000000000001,0.254,0.24100000000000002,0.299,0.32899999999999996,20.8%,40.3%,38.9%,21.4%,3.6%,24.9%,62.5%,43.2%,85.7%,93.0%,90.8%,0.361
13277,Joey Rickard,BAL,95,86,17,2,9,6,1,8.4%,26.3%,0.163,0.254,0.198,0.27399999999999997,0.36,18.0%,37.7%,44.3%,22.2%,7.4%,31.8%,72.5%,48.7%,68.8%,83.1%,77.6%,0.312
14109,Albert Almora Jr.,CHC,76,69,18,1,7,6,2,6.6%,17.1%,0.057999999999999996,0.309,0.261,0.32,0.319,12.5%,60.7%,26.8%,20.0%,6.7%,40.9%,69.8%,52.5%,60.0%,91.9%,77.0%,0.271
14712,Manuel Margot,SDP,84,83,21,2,9,9,1,1.2%,20.2%,0.133,0.297,0.253,0.262,0.386,20.3%,26.6%,53.1%,17.6%,5.9%,27.5%,70.3%,49.5%,68.3%,87.4%,82.2%,0.304
6547,Jordy Mercer,DET,51,47,11,0,2,2,0,5.9%,21.6%,0.085,0.306,0.23399999999999999,0.294,0.319,19.4%,38.9%,41.7%,0.0%,0.0%,25.2%,57.0%,39.4%,72.4%,94.3%,86.6%,0.31
785,Todd Frazier,NYM,30,29,6,2,2,7,1,0.0%,33.3%,0.207,0.235,0.207,0.233,0.414,15.8%,31.6%,52.6%,0.0%,20.0%,34.6%,54.9%,42.6%,63.0%,75.0%,69.1%,0.32899999999999996
13066,Teoscar Hernandez,TOR,103,92,20,2,12,13,2,9.7%,26.2%,0.12,0.281,0.217,0.29100000000000004,0.337,18.2%,39.4%,42.4%,7.1%,7.1%,29.8%,72.6%,46.4%,49.4%,79.0%,67.3%,0.306
7435,Ben Zobrist,CHC,82,71,17,0,8,7,0,12.2%,12.2%,0.013999999999999999,0.27399999999999997,0.239,0.32899999999999996,0.254,22.6%,53.2%,24.2%,13.3%,0.0%,18.2%,53.2%,32.5%,73.0%,85.1%,81.1%,0.358
9241,Starling Marte,PIT,80,75,15,3,9,11,3,2.5%,20.0%,0.2,0.214,0.2,0.24100000000000002,0.4,18.6%,52.5%,28.8%,11.8%,17.6%,39.4%,76.7%,55.1%,53.8%,88.0%,73.9%,0.342
3410,Ryan Braun,MIL,105,97,19,5,11,16,1,5.7%,23.8%,0.18600000000000003,0.209,0.196,0.25,0.381,12.7%,52.1%,35.2%,8.0%,20.0%,38.2%,72.5%,52.2%,56.2%,89.7%,75.1%,0.34299999999999997
11982,Travis Shaw,MIL,110,98,19,4,10,8,0,9.1%,34.5%,0.153,0.268,0.19399999999999998,0.282,0.34700000000000003,22.0%,37.3%,40.7%,8.3%,16.7%,27.6%,66.8%,44.4%,62.5%,69.5%,67.0%,0.281
16442,Ryan O'Hearn,KCR,99,84,14,3,11,8,0,13.1%,25.3%,0.16699999999999998,0.193,0.16699999999999998,0.28300000000000003,0.33299999999999996,11.7%,50.0%,38.3%,8.7%,13.0%,25.2%,58.3%,37.6%,54.1%,86.9%,73.1%,0.281
14894,Tony Kemp,HOU,45,39,7,2,7,3,1,8.9%,17.8%,0.154,0.172,0.179,0.273,0.33299999999999996,13.3%,43.3%,43.3%,0.0%,15.4%,26.4%,57.9%,41.1%,73.9%,93.2%,86.6%,0.29100000000000004
1433,Wilson Ramos,NYM,99,89,22,1,12,17,0,8.1%,15.2%,0.055999999999999994,0.284,0.247,0.313,0.303,20.0%,62.7%,17.3%,15.4%,7.7%,36.2%,77.9%,54.8%,61.9%,85.3%,76.7%,0.35100000000000003
17719,Steven Duggar,SFG,117,108,24,3,10,11,1,5.1%,29.9%,0.139,0.292,0.222,0.265,0.361,21.9%,53.4%,24.7%,0.0%,16.7%,25.9%,63.6%,43.5%,48.5%,85.3%,73.7%,0.278
15654,Billy McKinney,TOR,92,83,19,1,10,5,0,5.4%,20.7%,0.10800000000000001,0.281,0.22899999999999998,0.278,0.337,24.6%,40.0%,35.4%,17.4%,4.3%,31.3%,68.7%,48.2%,64.3%,87.1%,79.0%,0.27399999999999997
18042,Dylan Moore,SEA,39,35,7,1,4,3,0,5.1%,38.5%,0.114,0.316,0.2,0.282,0.314,10.0%,60.0%,30.0%,0.0%,16.7%,26.9%,77.6%,48.3%,60.7%,81.4%,74.7%,0.302
9744,Justin Bour,LAA,91,80,14,3,7,13,0,11.0%,27.5%,0.15,0.212,0.175,0.275,0.325,14.5%,47.3%,38.2%,23.8%,14.3%,26.7%,57.5%,39.6%,56.5%,87.5%,75.3%,0.259
9256,A.J. Pollock,LAD,115,103,23,2,15,14,0,7.8%,20.0%,0.107,0.263,0.223,0.287,0.33,17.1%,47.6%,35.4%,10.3%,6.9%,29.6%,68.6%,46.0%,66.2%,91.7%,82.2%,0.327
15937,Aledmys Diaz,HOU,41,39,8,2,5,9,0,2.4%,14.6%,0.231,0.188,0.205,0.22,0.436,14.7%,55.9%,29.4%,10.0%,20.0%,39.0%,75.8%,55.4%,50.0%,89.4%,74.0%,0.35600000000000004
9368,Evan Longoria,SFG,109,104,22,3,9,11,1,3.7%,21.1%,0.163,0.244,0.212,0.248,0.375,19.8%,38.3%,42.0%,5.9%,8.8%,35.0%,63.9%,49.5%,69.0%,87.8%,81.2%,0.325
10199,Billy Hamilton,KCR,84,74,16,0,12,3,8,10.7%,22.6%,0.068,0.28600000000000003,0.21600000000000003,0.298,0.284,29.1%,43.6%,27.3%,26.7%,0.0%,27.9%,68.4%,45.9%,64.2%,85.6%,78.3%,0.289
11602,Yolmer Sanchez,CHW,72,64,15,0,7,3,1,9.7%,26.4%,0.031,0.326,0.23399999999999999,0.306,0.266,20.0%,46.7%,33.3%,0.0%,0.0%,26.7%,62.7%,40.9%,75.0%,78.4%,77.0%,0.318
16512,Isiah Kiner-Falefa,TEX,59,50,10,0,7,5,1,11.9%,25.4%,0.04,0.28600000000000003,0.2,0.31,0.24,17.1%,62.9%,20.0%,0.0%,0.0%,31.4%,52.5%,40.2%,68.2%,96.2%,83.3%,0.299
8418,Ehire Adrianza,MIN,42,34,6,1,5,2,0,7.1%,14.3%,0.08800000000000001,0.179,0.17600000000000002,0.293,0.265,31.0%,37.9%,31.0%,0.0%,11.1%,33.7%,62.9%,45.5%,87.1%,84.6%,85.7%,0.349
9272,Chris Davis,BAL,75,68,12,3,6,13,0,8.0%,37.3%,0.17600000000000002,0.243,0.17600000000000002,0.253,0.353,17.5%,37.5%,45.0%,0.0%,16.7%,28.5%,61.1%,41.4%,41.8%,77.9%,62.9%,0.276
12976,Austin Hedges,SDP,68,63,11,4,5,9,0,4.4%,25.0%,0.20600000000000002,0.16699999999999998,0.175,0.235,0.381,19.6%,39.1%,41.3%,15.8%,21.1%,33.1%,66.4%,47.9%,57.1%,81.0%,71.9%,0.252
5491,Austin Romine,NYY,47,45,11,1,5,8,0,2.1%,21.3%,0.08900000000000001,0.294,0.244,0.261,0.33299999999999996,11.4%,51.4%,37.1%,23.1%,7.7%,42.9%,78.0%,61.8%,63.3%,92.2%,83.0%,0.31
6885,Ian Desmond,COL,98,92,18,3,9,13,0,5.1%,26.5%,0.174,0.23399999999999999,0.196,0.235,0.37,22.7%,37.9%,39.4%,11.5%,11.5%,30.5%,74.5%,49.6%,59.4%,80.8%,73.4%,0.31
12434,Kevin Pillar,- - -,111,103,21,5,13,19,3,3.6%,17.1%,0.175,0.195,0.204,0.23399999999999999,0.379,18.6%,39.5%,41.9%,8.3%,13.9%,43.8%,65.8%,52.9%,73.6%,92.9%,83.6%,0.287
15986,Willy Adames,TBR,98,90,18,1,13,4,1,7.1%,29.6%,0.1,0.28300000000000003,0.2,0.265,0.3,18.6%,61.0%,20.3%,0.0%,8.3%,29.8%,66.1%,47.9%,57.4%,78.2%,71.7%,0.317
13510,Jose Ramirez,CLE,121,105,19,2,13,9,9,10.7%,14.0%,0.095,0.195,0.18100000000000002,0.281,0.276,22.7%,33.0%,44.3%,10.3%,5.1%,26.1%,68.0%,42.7%,73.1%,90.3%,84.0%,0.327
11936,Joe Panik,SFG,94,84,17,1,6,7,0,8.5%,11.7%,0.071,0.21899999999999997,0.20199999999999999,0.27699999999999997,0.27399999999999997,26.4%,43.1%,30.6%,9.1%,4.5%,22.0%,64.5%,41.0%,87.0%,92.7%,91.0%,0.315
17182,Jung Ho Kang,PIT,81,75,12,4,5,8,0,7.4%,34.6%,0.2,0.18600000000000003,0.16,0.222,0.36,17.0%,46.8%,36.2%,11.8%,23.5%,33.5%,59.5%,44.4%,50.7%,84.1%,69.4%,0.222
14477,Jake Cave,MIN,38,34,7,0,1,3,0,10.5%,23.7%,0.028999999999999998,0.28,0.20600000000000002,0.289,0.235,8.0%,76.0%,16.0%,0.0%,0.0%,34.4%,77.8%,50.7%,61.3%,85.7%,75.3%,0.35100000000000003
14225,Yasiel Puig,CIN,106,99,19,4,8,15,3,4.7%,25.5%,0.162,0.214,0.192,0.226,0.354,21.6%,32.4%,45.9%,11.8%,11.8%,43.0%,80.5%,58.7%,59.8%,84.7%,74.1%,0.327
14145,Daniel Robertson,TBR,88,78,14,1,7,9,1,11.4%,28.4%,0.077,0.25,0.179,0.273,0.256,11.5%,59.6%,28.8%,6.7%,6.7%,21.3%,67.1%,42.0%,53.5%,89.3%,79.4%,0.312
13369,Erik Gonzalez,PIT,59,51,11,0,2,2,3,10.2%,22.0%,0.078,0.289,0.21600000000000003,0.298,0.294,11.1%,61.1%,27.8%,30.0%,0.0%,37.6%,78.2%,53.8%,59.1%,88.5%,76.2%,0.301
11342,Jesus Aguilar,MIL,92,80,13,3,8,12,0,9.8%,22.8%,0.138,0.175,0.163,0.244,0.3,23.3%,35.0%,41.7%,8.0%,12.0%,32.7%,66.2%,47.1%,55.4%,77.0%,68.5%,0.325
8610,Kendrys Morales,OAK,88,74,12,1,5,4,0,12.5%,14.8%,0.054000000000000006,0.18,0.162,0.284,0.21600000000000003,12.9%,48.4%,38.7%,8.3%,4.2%,23.1%,63.7%,40.5%,73.3%,90.3%,84.8%,0.313
2829,Manny Pina,MIL,31,26,4,0,1,1,0,9.7%,25.8%,0.038,0.222,0.154,0.29,0.192,27.8%,27.8%,44.4%,12.5%,0.0%,28.0%,63.0%,41.9%,65.2%,88.2%,78.9%,0.313
13620,Carson Kelly,ARI,53,51,10,0,3,6,0,1.9%,24.5%,0.13699999999999998,0.263,0.196,0.226,0.33299999999999996,23.7%,47.4%,28.9%,18.2%,0.0%,32.5%,69.0%,50.4%,55.3%,88.5%,77.6%,0.348
13757,Chris Taylor,LAD,80,70,12,1,4,9,1,10.0%,26.3%,0.086,0.22399999999999998,0.171,0.263,0.257,16.0%,52.0%,32.0%,6.3%,6.3%,27.7%,75.5%,49.4%,57.1%,72.1%,67.5%,0.33299999999999996
19238,Lourdes Gurriel Jr.,TOR,44,40,7,0,2,7,1,6.8%,27.3%,0.1,0.25,0.175,0.25,0.275,14.3%,42.9%,42.9%,25.0%,0.0%,41.7%,62.1%,49.1%,60.5%,83.3%,70.9%,0.327
9776,Jason Kipnis,CLE,50,45,9,0,2,3,1,10.0%,16.0%,0.022000000000000002,0.243,0.2,0.28,0.222,8.3%,47.2%,44.4%,0.0%,0.0%,27.4%,67.9%,45.3%,69.0%,78.9%,75.6%,0.304
16535,Danny Jansen,TOR,75,66,12,0,5,4,0,9.3%,28.0%,0.061,0.261,0.182,0.267,0.242,19.6%,52.2%,28.3%,0.0%,0.0%,27.6%,63.7%,42.9%,61.7%,83.5%,75.4%,0.27899999999999997
6887,Martin Maldonado,KCR,83,74,13,1,8,2,0,7.2%,18.1%,0.081,0.207,0.17600000000000002,0.256,0.257,11.9%,52.5%,35.6%,14.3%,4.8%,28.2%,68.4%,46.9%,71.4%,93.3%,86.3%,0.293
8553,Gerardo Parra,SFG,96,85,16,1,8,6,2,8.3%,18.8%,0.071,0.22399999999999998,0.188,0.271,0.259,23.9%,52.2%,23.9%,18.8%,6.3%,40.4%,75.4%,54.5%,63.8%,83.2%,74.6%,0.293
13593,Jose Peraza,CIN,92,89,18,2,9,7,4,2.2%,20.7%,0.10099999999999999,0.235,0.20199999999999999,0.228,0.303,14.3%,32.9%,52.9%,8.1%,5.4%,40.0%,72.7%,55.8%,62.5%,95.4%,83.2%,0.285
13608,Mallex Smith,SEA,110,97,16,1,15,5,8,10.0%,30.0%,0.08199999999999999,0.23399999999999999,0.165,0.255,0.247,15.6%,57.8%,26.6%,5.9%,5.9%,22.3%,67.1%,43.6%,54.7%,74.5%,69.2%,0.3
13324,Ildemaro Vargas,ARI,40,40,8,1,6,4,1,0.0%,17.5%,0.15,0.21899999999999997,0.2,0.2,0.35,21.2%,48.5%,30.3%,0.0%,10.0%,42.5%,57.1%,49.7%,74.2%,90.0%,83.1%,0.299
14352,Lewis Brinson,MIA,82,76,15,0,4,4,0,2.4%,34.1%,0.066,0.313,0.19699999999999998,0.247,0.263,20.8%,43.8%,35.4%,11.8%,0.0%,42.8%,67.2%,52.8%,53.2%,79.8%,67.1%,0.23600000000000002
15082,Adam Engel,CHW,45,41,7,1,4,3,0,6.7%,37.8%,0.122,0.261,0.171,0.22699999999999998,0.293,22.7%,40.9%,36.4%,12.5%,12.5%,30.4%,71.3%,48.4%,54.8%,70.2%,64.8%,0.304
5343,Brandon Crawford,SFG,112,101,20,0,5,2,1,8.9%,25.9%,0.02,0.278,0.198,0.27699999999999997,0.218,25.0%,52.8%,22.2%,12.5%,0.0%,31.9%,75.0%,50.7%,44.3%,86.8%,71.7%,0.304
5497,Marwin Gonzalez,MIN,86,78,13,2,5,7,1,9.3%,24.4%,0.09,0.2,0.16699999999999998,0.244,0.256,14.0%,52.6%,33.3%,10.5%,10.5%,28.2%,65.3%,42.9%,62.9%,89.4%,78.8%,0.322
5275,Francisco Cervelli,PIT,88,80,14,1,9,4,0,6.8%,27.3%,0.063,0.23600000000000002,0.175,0.25,0.23800000000000002,16.1%,42.9%,41.1%,4.3%,4.3%,29.0%,62.7%,44.2%,51.8%,87.9%,74.8%,0.302
10815,Jurickson Profar,OAK,102,93,15,2,9,13,3,6.9%,13.7%,0.10800000000000001,0.16699999999999998,0.161,0.225,0.26899999999999996,20.0%,46.3%,33.8%,22.2%,7.4%,34.5%,67.3%,46.9%,75.6%,93.1%,85.0%,0.301
10030,Chris Owings,KCR,104,96,15,2,8,8,4,7.7%,32.7%,0.115,0.217,0.156,0.221,0.271,16.4%,59.0%,24.6%,6.7%,13.3%,33.8%,60.2%,45.3%,48.1%,84.9%,69.4%,0.209
3448,Jeff Mathis,TEX,51,47,8,1,7,2,0,7.8%,27.5%,0.064,0.21899999999999997,0.17,0.235,0.23399999999999999,15.6%,37.5%,46.9%,13.3%,6.7%,37.3%,59.8%,47.8%,46.3%,84.5%,68.7%,0.209
12282,Rougned Odor,TEX,69,62,9,1,10,5,2,8.7%,37.7%,0.081,0.22899999999999998,0.145,0.23199999999999998,0.226,17.6%,35.3%,47.1%,25.0%,6.3%,29.7%,69.4%,45.8%,57.4%,77.9%,70.0%,0.28300000000000003
17736,Richie Martin Jr.,BAL,74,67,11,0,5,1,1,8.1%,33.8%,0.045,0.262,0.16399999999999998,0.243,0.209,24.4%,46.3%,29.3%,25.0%,0.0%,34.4%,74.3%,53.4%,50.9%,82.7%,72.0%,0.26
6195,Ian Kinsler,SDP,91,83,11,2,7,2,1,8.8%,18.7%,0.10800000000000001,0.141,0.133,0.209,0.24100000000000002,15.4%,38.5%,46.2%,26.7%,6.7%,27.0%,65.1%,44.7%,71.7%,86.4%,81.6%,0.278
19262,Garrett Hampson,COL,81,77,14,1,8,4,1,2.5%,27.2%,0.091,0.23600000000000002,0.182,0.2,0.273,17.0%,47.2%,35.8%,36.8%,5.3%,19.9%,60.8%,38.0%,50.0%,89.7%,78.0%,0.302
14818,JaCoby Jones,DET,56,51,7,1,4,1,1,3.6%,33.9%,0.078,0.19399999999999998,0.13699999999999998,0.214,0.21600000000000003,6.3%,43.8%,50.0%,12.5%,6.3%,40.0%,64.3%,50.9%,58.3%,88.9%,75.7%,0.31
16403,Francisco Mejia,SDP,44,41,6,0,2,1,0,4.5%,27.3%,0.073,0.207,0.146,0.205,0.22,20.7%,44.8%,34.5%,20.0%,0.0%,39.8%,70.0%,52.0%,68.3%,79.6%,74.4%,0.316
12984,Jackie Bradley Jr.,BOS,99,88,13,0,5,5,3,9.1%,30.3%,0.034,0.22,0.14800000000000002,0.22399999999999998,0.182,8.5%,59.3%,32.2%,15.8%,0.0%,29.8%,70.6%,47.7%,48.5%,76.0%,66.3%,0.317
9253,Keon Broxton,NYM,45,41,6,0,4,2,4,8.9%,42.2%,0.0,0.273,0.146,0.222,0.146,13.6%,50.0%,36.4%,0.0%,0.0%,26.1%,64.2%,41.8%,36.7%,65.4%,54.9%,0.242
16357,Pablo Reyes,PIT,39,36,5,0,5,3,0,7.7%,35.9%,0.0,0.22699999999999998,0.139,0.205,0.139,9.5%,42.9%,47.6%,10.0%,0.0%,27.3%,53.8%,38.6%,45.8%,85.7%,69.5%,0.27399999999999997
6848,Eduardo Nunez,BOS,46,44,7,0,3,5,3,2.2%,17.4%,0.023,0.19399999999999998,0.159,0.17800000000000002,0.182,8.3%,52.8%,38.9%,21.4%,0.0%,30.7%,69.6%,50.6%,69.6%,90.9%,84.6%,0.243
16623,Greg Allen,CLE,42,38,4,0,4,6,0,4.8%,33.3%,0.053,0.16,0.105,0.16699999999999998,0.158,16.0%,48.0%,36.0%,11.1%,0.0%,40.0%,71.2%,52.4%,57.5%,78.7%,69.0%,0.29
